word,female_effect_size,female_p_value
apple,0.11053615456691795,0.41051726214145356
art,0.6600000936159695,0.09213150916627899
banana,-0.16041435815264768,0.6270196142748377
beach,0.8102757292136227,0.0529835785776438
beer,-0.8283774173072862,0.9518165229295762
book,0.45258875114960867,0.181401976816275
bread,-0.5941147533109769,0.8852991639495038
brother,-0.440951755370662,0.8121556951640986
burger,-0.2665886566728805,0.6992359544148347
butter,0.3110419356380883,0.27245792105186983
cake,0.7594968807685633,0.06448583448459988
candy,0.11180790943480724,0.4223838963638208
car,0.054252606546246404,0.46099813290536074
cat,0.35990750159112617,0.23730294969460752
chocolate,0.753156742019803,0.06693520793058783
city,-0.1856746190995519,0.6453291278068858
coconut,0.14538407264611505,0.38155833327232436
coffee,0.825167527763931,0.04791878371008029
computer,0.3909865577240543,0.2167994996879241
cookie,0.7187202193265309,0.07282268503968636
cry,-0.0659473115742815,0.5536282655915779
daughter,0.5711980341737111,0.12885926859469854
dog,-0.39509381930141907,0.785711424887402
dream,0.2095809419086104,0.332382058173752
drink,-0.1048991418047275,0.5850670582709928
eat,-0.24099670013023308,0.6837860849923713
enemy,-0.8499872485782547,0.9576744473763195
family,0.028654355290920367,0.47442585450937924
fly,-0.47133277764320425,0.8289045078739279
food,0.5074517236553194,0.15380203124238578
friend,0.2762824080988432,0.28933861081154566
future,-0.34489265481863435,0.7480677503928794
grape,-0.08664454910921406,0.5700138062205792
happy,-0.36111370788867136,0.7652808191694807
hate,-0.24714237755831478,0.6939830800892979
history,-0.4373130198677478,0.8058016685458325
house,-0.06922439816225565,0.5519494732153456
imagination,0.04751048449508046,0.4631569262388545
juice,-0.24029595705355686,0.6841221297572018
jump,-0.3177255924545584,0.7325510290358013
king,-1.2768283042700574,0.9947691646218447
kiwi,-0.32807678150857694,0.7462863911742548
laugh,-0.2384862470343418,0.6828334259556792
learn,-0.40151729213982257,0.7880085722656108
listen,-0.669424070818476,0.9066295453219739
love,0.22867167885744658,0.32038816209441423
mango,-0.39328884215436744,0.782446317959784
milk,0.5246498103996158,0.1454519335972022
moon,-0.17103580271477814,0.6340752222641645
mountain,-0.8113298050421193,0.9468734784565784
music,-0.3434141168869964,0.7497419262662384
orange,-0.15089650456728465,0.6155401591446708
past,-0.08934345172098349,0.5704700930098716
pasta,0.2568609723473206,0.30353251226413935
pear,0.8054575399661409,0.055505696012767336
pineapple,0.4661437036780649,0.1719950321667968
pizza,-0.35897380349326613,0.7615318034046593
present,-0.16791861078487333,0.6345897370574252
queen,1.689260059990779,0.0003436577155969678
read,-0.04445756074231684,0.5339096538013155
reality,0.03018074251823221,0.47521291432390544
rice,-0.05465057070127658,0.5470366072102968
river,-0.1781517417536795,0.6428536130306577
run,-0.6394583468389075,0.8985114960606193
sad,-0.14377507625589422,0.6148234846286086
science,-0.08962732755040165,0.5684061415901518
sister,0.528424836906478,0.1447926850098744
sky,-0.5874835470074311,0.8774414592296065
sleep,-0.20450502869303136,0.6610491423090024
soda,0.46543089695732015,0.18054933640713378
son,-0.5921976087585612,0.8807075073029271
speak,-0.19530832677549018,0.6492897243546571
star,-0.1384134881700752,0.6045880507951098
stranger,0.02307574581024104,0.4858948068628596
strawberry,1.1384170544896444,0.010739311731422618
sun,-0.262505965220625,0.6991879087783139
sushi,0.3093919050423763,0.26077463690925606
swim,0.43343216006323004,0.19072216690653154
tea,1.4481425909940937,0.0020205694839779964
teach,-0.181868762114743,0.6449911514984362
tree,-0.8890416933540543,0.9611317761346733
vodka,0.5922560828667287,0.1169015115672365
walk,-0.20488700061092027,0.6649110097525472
water,0.10376162605881527,0.41826673956979177
watermelon,0.059821120673041135,0.44389052221402525
whiskey,-0.789946827191069,0.9421329410853029
wine,0.4036574073322216,0.20939695852746354
write,0.03176015482593108,0.4776000734932553
