word,female_effect_size,female_p_value
apple,0.7474496641639669,0.06510819709087479
art,-0.1012806298269456,0.5837821360638851
banana,-0.9027151463385565,0.9643315111628254
beach,0.5325315010540864,0.14421847461127046
beer,0.24592674010707824,0.30490374844192547
book,0.28926540987739746,0.2732185545763057
bread,0.5172626177914135,0.1556580366973659
brother,-0.305946202287906,0.731214384582421
burger,-0.2526524577957328,0.6974849972245513
butter,0.8320261815500344,0.05029861613146103
cake,0.6298932249030367,0.10455749734975628
candy,1.0029918678961292,0.022074720860765895
car,-0.2479461447293846,0.6876223729921955
cat,0.033048646198222044,0.472411136310954
chocolate,0.35024751505833746,0.2430296812255669
city,-0.4318760793255961,0.8116217506789007
coconut,0.14237798710542132,0.388047585637321
coffee,-0.6907754173543924,0.9126205944825891
computer,-0.17492609523308225,0.6381643933952668
cookie,-0.07084044409981115,0.5594307061159174
cry,0.6212317491851135,0.10416324342809524
daughter,0.8272957290900358,0.05078196298472015
dog,-0.2869002226682448,0.7130590918094092
dream,1.1041080237598557,0.014564308263650405
drink,0.857036442835484,0.04426916179192797
eat,0.8121003853421822,0.05153267424219077
enemy,0.14622089168853464,0.37638838253423845
family,1.071484768769776,0.015051894912253339
fly,0.37261598812748864,0.22889859763769516
food,0.6719866014995274,0.08775740271805221
friend,0.8707123615716325,0.0401140166408358
future,1.0471769174068155,0.016872130755201886
grape,1.2204754604413453,0.00707856196422163
happy,-0.03609256942433966,0.5318285647086679
hate,0.2572843208931798,0.3020165441346776
history,-0.16040768251516282,0.6323558935709135
house,-0.004500631351461731,0.5048093978091854
imagination,0.46540108147088166,0.1799551824818948
juice,0.5044527715924094,0.1537984493504705
jump,0.18962113147316303,0.35553172342166983
king,-1.1473600434341569,0.9881324329996929
kiwi,1.023111844302845,0.019935703361849133
laugh,0.5490972582700127,0.1405435085033817
learn,1.0556349857429976,0.017949882085584234
listen,0.9695452577771593,0.026882671931974356
love,1.0414713283701256,0.017109387534181675
mango,-0.4074404928540521,0.792670413449065
milk,1.4734728325260398,0.0016339607277541246
moon,0.15066891856801917,0.3819991872641906
mountain,-0.040792159314260404,0.5374427949461807
music,0.46180660980974203,0.18010354149716834
orange,-0.3448826798118461,0.7549483381038411
past,1.121061177983013,0.012277782943659554
pasta,0.7745104929878153,0.061369072077107845
pear,0.9706803638556577,0.025202219646470736
pineapple,0.8700870335589175,0.04212882769814996
pizza,0.10787764068419435,0.414443547855344
present,1.121029286651196,0.011510944756404018
queen,1.4440467741850582,0.0019125378459873277
read,0.8870707245979814,0.03808916382224181
reality,0.341370674488112,0.24745981718156373
rice,0.9966811882978743,0.022995638418770947
river,0.9876024335906536,0.023576812462389074
run,-0.8053077228715709,0.9477021661353049
sad,-0.8184267950502141,0.9485695603998177
science,-0.2980152383694952,0.7267285463697293
sister,0.7130640211035557,0.07558438043641658
sky,-0.4560179438000407,0.8148984235198677
sleep,0.2239478836426896,0.3284213618098998
soda,0.6451746091334565,0.09609570878747031
son,-0.7541367107788891,0.9362888602280143
speak,0.8702149489443325,0.04161804916267586
star,-0.10462881823491028,0.5843185888527376
stranger,0.6339231037914659,0.10308136327594752
strawberry,1.5613820303115922,0.0008127661386199136
sun,-0.6836323715714733,0.9135882193137934
sushi,0.2150071890235818,0.3303280205494007
swim,0.9425158150542176,0.031212594283116846
tea,1.2361319506583845,0.0061792883627362905
teach,1.465904867907407,0.0018774742080666096
tree,0.6827209277247245,0.08716902745588762
vodka,1.0698843836282383,0.01576816737825837
walk,0.94182505021444,0.030161697252590214
water,0.42372779319499465,0.19749333241527878
watermelon,1.1547088776831818,0.01010275085559531
whiskey,0.09215605273167445,0.43426314051976345
wine,1.240961759231563,0.006851295293391679
write,0.6643957883812991,0.08945770584108603
