word,female_effect_size,female_p_value
apple,0.11053615456691795,0.4175230423765637
art,0.6600000936159695,0.09111659066033306
banana,-0.16041435815264768,0.6216339111673996
beach,0.8102757292136227,0.050985316351294996
beer,-0.8283774173072862,0.9495818907373033
book,0.45258875114960867,0.17835517605438378
bread,-0.5941147533109769,0.8845682501219222
brother,-0.440951755370662,0.8072967103739576
burger,-0.2665886566728805,0.7082588118354709
butter,0.3110419356380883,0.26570074304468483
cake,0.7594968807685633,0.06222831644029592
candy,0.11180790943480724,0.40002706502423213
car,0.054252606546246404,0.4563599978033046
cat,0.35990750159112617,0.23968626506612467
chocolate,0.753156742019803,0.06701917568576443
city,-0.1856746190995519,0.6415411417857761
coconut,0.14538407264611505,0.38770905359236196
coffee,0.825167527763931,0.049493639666634226
computer,0.3909865577240543,0.21705988600057124
cookie,0.7187202193265309,0.0734986741047261
cry,-0.0659473115742815,0.5557167715254782
daughter,0.5711980341737111,0.13033844347396872
dog,-0.39509381930141907,0.7833983780178659
dream,0.2095809419086104,0.3417605876738339
drink,-0.1048991418047275,0.5830882303467252
eat,-0.24099670013023308,0.6825766058568984
enemy,-0.8499872485782547,0.9563124337018655
family,0.028654355290920367,0.48003890860900233
fly,-0.47133277764320425,0.826597528959391
food,0.5074517236553194,0.1476973814474669
friend,0.2762824080988432,0.29371057964289704
future,-0.34489265481863435,0.7542794629726597
grape,-0.08664454910921406,0.5686316202189613
happy,-0.36111370788867136,0.7629730404590633
hate,-0.24714237755831478,0.6940779008042611
history,-0.4373130198677478,0.8107205833770043
house,-0.06922439816225565,0.5577238648128398
imagination,0.04751048449508046,0.46024087519004364
juice,-0.24029595705355686,0.6877088045652351
jump,-0.3177255924545584,0.7359684905486936
king,-1.2768283042700574,0.9950254379227202
kiwi,-0.32807678150857694,0.7418887374329718
laugh,-0.2384862470343418,0.6795957091831668
learn,-0.40151729213982257,0.7910829118232579
listen,-0.669424070818476,0.9089079949807113
love,0.22867167885744658,0.323739556528307
mango,-0.39328884215436744,0.7854631096365688
milk,0.5246498103996158,0.1458141411804429
moon,-0.17103580271477814,0.635300255281156
mountain,-0.8113298050421193,0.9458723903087622
music,-0.3434141168869964,0.7563481923674357
orange,-0.15089650456728465,0.6128717372958463
past,-0.08934345172098349,0.5683017537578574
pasta,0.2568609723473206,0.2997174684359869
pear,0.8054575399661409,0.04938433237313222
pineapple,0.4661437036780649,0.17808106387685607
pizza,-0.35897380349326613,0.7581186021526464
present,-0.16791861078487333,0.6319687858413002
queen,1.689260059990779,0.0003145698681912279
read,-0.04445756074231684,0.5453638222263016
reality,0.03018074251823221,0.4784998826085828
rice,-0.05465057070127658,0.5480439098157703
river,-0.1781517417536795,0.6389321003244433
run,-0.6394583468389075,0.9022566696144083
sad,-0.14377507625589422,0.6084875837801702
science,-0.08962732755040165,0.5745859505444536
sister,0.528424836906478,0.14698675513273107
sky,-0.5874835470074311,0.8807774806967804
sleep,-0.20450502869303136,0.6579968531315044
soda,0.46543089695732015,0.17804776186200355
son,-0.5921976087585612,0.878779178104028
speak,-0.19530832677549018,0.6521632639996652
star,-0.1384134881700752,0.6128811449720414
stranger,0.02307574581024104,0.4836319927389604
strawberry,1.1384170544896444,0.011496900939839572
sun,-0.262505965220625,0.6939924730456745
sushi,0.3093919050423763,0.26162325397024777
swim,0.43343216006323004,0.19114774330069562
tea,1.4481425909940937,0.0020409440412997304
teach,-0.181868762114743,0.6346008898576638
tree,-0.8890416933540543,0.9619776442613536
vodka,0.5922560828667287,0.11953621929069902
walk,-0.20488700061092027,0.6532688128967142
water,0.10376162605881527,0.4212731596659215
watermelon,0.059821120673041135,0.44809383681110315
whiskey,-0.789946827191069,0.9404100523195495
wine,0.4036574073322216,0.20822547757925858
write,0.03176015482593108,0.47849882905788044
